最小稀疏度设置为0.7
_subordinate_instance_of	头实体稀疏矩阵非零个数：12	尾实体稀疏矩阵非零个数：2
8	18	0.19541154410109995
8	2	0.30052866363519426
8	4	0.810139414493924
8	5	0.8656736891662897
8	7	0.18638877903726425
8	11	0.5640427214096868
8	13	0.6564440446800127
9	16	0.15795872536537758
9	1	0.7238981451668737
9	8	0.9135497155446595
9	9	0.7213043292239152
9	10	0.24108518954746827
10	17	0.10158156145816588
10	2	0.756804881640742
10	19	0.22513182395151832
10	7	0.38628743448562475
10	8	0.5700770493473934
10	13	0.550355201389944
10	14	0.11951958788001749
11	0	0.08668194415315944
11	2	0.1159053618593272
11	4	0.9701099711557165
11	8	0.595184889824605
11	9	0.16176216198904403
11	10	0.8774006749807002
11	15	0.804045852628858
12	0	0.07859444815839634
12	18	0.20141351610906033
12	19	0.3826522485014485
12	4	0.5042108520515256
12	7	0.26014972558305616
13	0	0.11717988583337313
13	17	0.6118069041100128
13	5	0.6603869563989363
13	14	0.34231716415182945
14	0	0.8468320953955562
14	2	0.6097150760384179
14	18	0.13921602003880984
14	6	0.7478462243094799
14	10	0.19285986022481805
14	13	0.004785780878288293
15	0	0.27028946367066753
15	6	0.9862257317006846
15	10	0.3663293096245176
15	11	0.3260489031907662
15	15	0.2546471240019259
16	1	0.24078723101939659
16	17	0.0546170682736552
16	2	0.45280589754877176
16	4	0.9213264575229766
16	6	0.5093713518139227
16	8	0.7348543068753945
16	10	0.8798827680105296
16	12	0.06404761739359821
16	14	0.8082313950653339
17	2	0.5144823761604921
17	6	0.7363820474322765
18	17	0.8528167717662586
18	18	0.03185594650302703
18	6	0.9961436798520124
18	9	0.6569633720785831
18	12	0.23417378220921392
18	15	0.5506504305978973
19	2	0.5362004069720756
19	5	0.6720650571749658
19	8	0.8090065852880819
19	13	0.5239246925680188
19	15	0.7944951603524341
尾实体稀疏矩阵非零元素及位置
0	1	0.01574391794653962
0	18	0.9027219031346913
0	3	0.31559322000914825
0	19	0.9118889780671069
1	3	0.7995451692591666
2	16	0.07496428237624053
2	1	0.09265029002332936
3	1	0.20129383458138506
4	0	0.8112618879004793
4	9	0.7835647594232446
4	11	0.7897906060060986
4	13	0.6087931663249896
5	8	0.9711149711970912
5	15	0.4821264064366376
6	1	0.16543410478868237
6	12	0.31704435646920304
6	15	0.9818540445109132
8	0	0.03004299074381267
8	6	0.9237257729227988
8	7	0.8016509077631119
8	14	0.4800796728160174
9	4	0.4038628000738175
10	5	0.4369396666124348
10	7	0.4750925681097189
10	14	0.04747956525683672
11	0	0.0789989186806983
11	5	0.9406658080122733
11	9	0.2975867554559123
12	0	0.09409384410303379
12	8	0.3695359466533483
12	10	0.05618102835410743
14	7	0.3325730374813022
16	6	0.16185815516927937
19	11	0.8078286913242675
19	13	0.3586617274825138
19	15	0.471582472267429
_member_meronym	头实体稀疏矩阵非零个数：17	尾实体稀疏矩阵非零个数：34
头实体稀疏矩阵非零元素及位置
0	2	0.03556183100534149
1	14	0.557240664316944
18	17	0.9404440075257391
2	10	0.8973261956251544
19	9	0.6809731129488323
3	4	0.1966308283596091
4	16	0.44163630334205595
4	5	0.04952276930179955
4	9	0.05244797573807991
8	2	0.517153852320883
12	2	0.3518474215910955
12	11	0.4663058904260443
13	9	0.9760201756494514
14	19	0.2965808510584512
14	7	0.8031068182613323
15	2	0.4109259704499809
15	19	0.6038405047518867
尾实体稀疏矩阵非零元素及位置
1	0	0.9165774643340096
2	8	0.46015628826131494
3	6	0.20480219447222525
4	16	0.10121214056421235
4	10	0.5301627443897805
4	11	0.23591186157778143
6	0	0.9055528347779328
6	3	0.1025080347068742
6	13	0.1951884968735288
7	7	0.6612745436406781
9	0	0.19021383161249394
9	1	0.5352729549485707
10	6	0.12416107382891295
10	7	0.8810463803921331
11	3	0.9137444043416947
11	10	0.49286504565358447
11	12	0.7839911237395923
12	6	0.884841051920388
13	2	0.38329655820132025
13	19	0.2383760048724095
14	16	0.9794511212405314
14	2	0.8591383039053023
14	3	0.02097488530037439
14	8	0.39734412817223574
15	4	0.8712768873742586
15	13	0.36492004857458704
16	15	0.2014289471316153
17	1	0.07866460458228908
17	11	0.6390260876533369
17	13	0.7934331400571213
17	15	0.29714519066484746
18	18	0.5154016136276935
18	3	0.6833780003782995
19	9	0.4325068115006394
_similar_to	头实体稀疏矩阵非零个数：4	尾实体稀疏矩阵非零个数：4
头实体稀疏矩阵非零元素及位置
16	4	0.22702979901901177
17	10	0.789853732902446
2	5	0.760345657887615
13	5	0.8342018569668099
尾实体稀疏矩阵非零元素及位置
3	8	0.26316502682426335
3	11	0.6814195590012982
4	13	0.20293367367862292
6	18	0.5694510751367529
_has_part	头实体稀疏矩阵非零个数：10	尾实体稀疏矩阵非零个数：21
头实体稀疏矩阵非零元素及位置
16	11	0.6195734269976396
0	3	0.02219177912649828
4	4	0.5991740337620585
4	12	0.2702701715472121
7	10	0.23343469485776414
8	17	0.12126597888185908
9	3	0.41081019705340327
10	0	0.6349806451065417
10	4	0.12163673214810067
14	4	0.022775802564512504
尾实体稀疏矩阵非零元素及位置
1	16	0.43693220332147453
2	7	0.9751480853082501
2	12	0.3377413811536961
4	1	0.6138180309501173
6	16	0.3013218868311054
6	2	0.7575893004213439
7	0	0.30987599981173086
7	19	0.1915952102212043
7	7	0.697687106252303
8	4	0.4414615745563458
9	4	0.04165288411618173
10	1	0.43269481150198275
10	10	0.24091955766870077
10	14	0.8234499347702449
11	12	0.6228930094932594
13	3	0.8505348280866001
14	12	0.7928962292029111
16	6	0.7110216778824866
18	6	0.345059924581659
19	16	0.34969408398709945
19	14	0.09474713713209881
_domain_topic	头实体稀疏矩阵非零个数：0	尾实体稀疏矩阵非零个数：3
头实体稀疏矩阵非零元素及位置
尾实体稀疏矩阵非零元素及位置
17	10	0.25416512798215707
2	14	0.6540012307496216
14	13	0.04128730070642872
